Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,SKC1000/480G,Kingston,KC1000 NVMe PCIe M.2 480GB,104,162,649,https://ssd.userbenchmark.com/SpeedTest/316248/KINGSTON-SKC1000480G
SSD,RVD350-FHPX28-960G,OCZ,RevoDrive 350 PCIe 960GB,105,162,124,https://ssd.userbenchmark.com/SpeedTest/15245/OCZ-REVODRIVE350
SSD,MDNVME80-BPX-0512,MyDigitalSSD,BPX NVMe PCIe M.2 480GB,106,159,1019,https://ssd.userbenchmark.com/SpeedTest/206552/BPX
SSD,2YY43AA#ABC,HP,EX900 NVMe PCIe M.2 250GB,107,159,3469,https://ssd.userbenchmark.com/SpeedTest/455743/HP-SSD-EX900-250GB
SSD,MKNSSDPL120GB-D8,Mushkin,Pilot NVMe PCIe M.2 120GB,108,159,77,https://ssd.userbenchmark.com/SpeedTest/533910/MKNSSDPL120GB-D8
SSD,MZHPV128HDGM-00000,Samsung,SM951 AHCI PCIe M.2 128GB,109,157,1636,https://ssd.userbenchmark.com/SpeedTest/26719/SAMSUNG-MZHPV128HDGM-00000
SSD,,Toshiba,THNSN5256GPU7 NVMe PCIe M.2 256GB,110,156,9580,https://ssd.userbenchmark.com/SpeedTest/36660/NVMe-THNSN5256GPU7-TO
SSD,,Apple,SM0512G PCIe 500GB,111,156,744,https://ssd.userbenchmark.com/SpeedTest/25611/APPLE-SSD-SM0512G
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB 1TB,112,155,1539,https://ssd.userbenchmark.com/SpeedTest/39907/NVMe-PM951-NVMe-SAMSU
SSD,CSSD-F240GBMP500,Corsair,Force MP500 NVMe PCIe M.2 240GB,113,154,8402,https://ssd.userbenchmark.com/SpeedTest/213562/Force-MP500
SSD,MDNVME80-BPX-0256,MyDigitalSSD,BPX NVMe PCIe M.2 240GB,114,154,890,https://ssd.userbenchmark.com/SpeedTest/211350/BPX
SSD,,Apple,SM0256G PCIe 251GB,115,151,517,https://ssd.userbenchmark.com/SpeedTest/25442/APPLE-SSD-SM0256G
SSD,,Toshiba,THNSN5128GPU7 NVMe PCIe M.2 128GB,116,150,857,https://ssd.userbenchmark.com/SpeedTest/38688/NVMe-THNSN5128GPU7-TO
SSD,ASX8000NP-512GM-C,Adata,XPG SX8000 NVMe PCIe M.2 512GB,117,150,1039,https://ssd.userbenchmark.com/SpeedTest/218488/NVMe-ADATA-SX8000NP
SSD,RVD350-FHPX28-480G,OCZ,RevoDrive 350 PCIe 480GB,118,148,418,https://ssd.userbenchmark.com/SpeedTest/13514/OCZ-REVODRIVE350
SSD,SKC1000/240G,Kingston,KC1000 NVMe PCIe M.2 240GB,119,147,1103,https://ssd.userbenchmark.com/SpeedTest/312458/KINGSTON-SKC1000240G
SSD,PH240GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 240GB,120,146,1335,https://ssd.userbenchmark.com/SpeedTest/179778/Patriot-Hellfire-M2
SSD,SSDPEDME400G401,Intel,DC P3600 Series NVMe PCIe 400GB,121,146,35,https://ssd.userbenchmark.com/SpeedTest/22744/NVMe-INTEL-SSDPEDME40
SSD,PX-512M8SeY,Plextor,M8Se NVMe PCIe M.2 512GB,122,145,127,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,PX-512M8SeG,Plextor,M8Se NVMe PCIe M.2 512GB,122,145,127,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,PX-512M8SeGN,Plextor,M8Se NVMe PCIe M.2 512GB,122,145,127,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,MDNVME80-BPX-0128,MyDigitalSSD,BPX NVMe PCIe M.2 120GB,123,144,589,https://ssd.userbenchmark.com/SpeedTest/217777/BPX
SSD,SHPM2280P2/480G,Kingston,HyperX Predator AHCI PCIe M.2 480GB,124,143,1351,https://ssd.userbenchmark.com/SpeedTest/27251/Kingston-SHPM2280P2480G
SSD,PX-1TM8SeY,Plextor,M8Se NVMe PCIe M.2 1TB,125,142,64,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,PX-1TM8SeG,Plextor,M8Se NVMe PCIe M.2 1TB,125,142,64,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,PX-1TM8SeGN,Plextor,M8Se NVMe PCIe M.2 1TB,125,142,64,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,KXG50ZNV512G,Toshiba,XG5 NVMe PCIe M.2 512GB,126,140,18012,https://ssd.userbenchmark.com/SpeedTest/359770/KXG50ZNV512G-NVMe-TOSHIBA-512GB
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB,127,139,4576,https://ssd.userbenchmark.com/SpeedTest/37633/NVMe-PM951-NVMe-SAMSU
SSD,PX-128M8PeG,Plextor,M8Pe NVMe PCIe M.2 128GB,128,139,343,https://ssd.userbenchmark.com/SpeedTest/171560/PLEXTOR-PX-128M8PeG
SSD,SA1000M8/960G,Kingston,A1000 NVMe PCIe M.2 960GB,129,139,961,https://ssd.userbenchmark.com/SpeedTest/495225/KINGSTON-SA1000M8960G
SSD,ASX8000NP-256GM-C,Adata,XPG SX8000 NVMe PCIe M.2 256GB,130,139,1880,https://ssd.userbenchmark.com/SpeedTest/209005/NVMe-ADATA-SX8000NP
SSD,PX-256M8SeY,Plextor,M8Se NVMe PCIe M.2 256GB,131,137,244,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,PX-256M8SeG,Plextor,M8Se NVMe PCIe M.2 256GB,131,137,244,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,PX-256M8SeGN,Plextor,M8Se NVMe PCIe M.2 256GB,131,137,244,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,SA1000M8/480G,Kingston,A1000 NVMe PCIe M.2 480GB,132,137,5538,https://ssd.userbenchmark.com/SpeedTest/492906/KINGSTON-SA1000M8480G
SSD,CSSD-F120GBMP500,Corsair,Force MP500 NVMe PCIe M.2 120GB,133,136,7905,https://ssd.userbenchmark.com/SpeedTest/221057/Force-MP500
SSD,2YY42AA#ABC,HP,EX900 NVMe PCIe M.2 120GB,134,135,595,https://ssd.userbenchmark.com/SpeedTest/489362/HP-SSD-EX900-120GB
SSD,SSDPEKKW128G8XT,Intel,760p Series NVMe PCIe M.2 128GB,135,133,1068,https://ssd.userbenchmark.com/SpeedTest/446913/INTEL-SSDPEKKW128G8
SSD,SSDPEKKW512G7X1,Intel,600p Series NVMe PCIe M.2 512GB,136,132,13639,https://ssd.userbenchmark.com/SpeedTest/168978/INTEL-SSDPEKKW512G7
SSD,KXG50ZNV256G,Toshiba,XG5 NVMe PCIe M.2 256GB,137,132,22347,https://ssd.userbenchmark.com/SpeedTest/358656/KXG50ZNV256G-NVMe-TOSHIBA-256GB
SSD,SHPM2280P2/240G,Kingston,HyperX Predator AHCI PCIe M.2 240GB,138,132,4532,https://ssd.userbenchmark.com/SpeedTest/26065/Kingston-SHPM2280P2240G
SSD,MDNVME80-SBX-0512,MyDigitalSSD,SBX NVMe PCIe M.2 512GB,139,131,130,https://ssd.userbenchmark.com/SpeedTest/438137/SBX
SSD,WDS512G1X0C,WD,Black NVMe PCIe M.2 512GB (2017),140,131,7792,https://ssd.userbenchmark.com/SpeedTest/251339/WDC-WDS512G1X0C-00ENX0
